"id","ru"
"OPEN_THE_DOOR","Открыть дверь","Открыть дверь"
"D_CELEBRATION_PHONE_1","Не спишь?","Не спишь?"
"D_CELEBRATION_PHONE_2","Пока нет","Пока нет"
"D_CELEBRATION_PHONE_3","А что?","А что?"
"D_CELEBRATION_PHONE_4","Хочу рассказать кое-что","Хочу рассказать кое-что"
"D_CELEBRATION_BUS_1","Ты все еще думаешь, что это был не сон?","Ты все еще думаешь, что это был не сон?"
"D_CELEBRATION_BUS_2","Я будто уверен, всё это было на самом деле. Ничего не понимаю...","Я будто уверен, всё это было на самом деле. Ничего не понимаю..."
"D_CELEBRATION_BUS_3","И подвал, и лаборатория?","И подвал, и лаборатория?"
"D_CELEBRATION_BUS_4","Да, если спуститься по лестнице, то можно дойти до подвала на минус первом этаже.","Да, если спуститься по лестнице, то можно дойти до подвала на минус первом этаже."
"D_CELEBRATION_BUS_5","Но я не помню, что было дальше.","Но я не помню, что было дальше."
"D_CELEBRATION_BUS_6","Надо просто спросить, что там. Может быть он существует только в твоих снах.","Надо просто спросить, что там. Может быть он существует только в твоих снах."
"D_CELEBRATION_BUS_7","Хотелось бы верить...","Хотелось бы верить..."
