"id","ru"
"D_NB_SINGER_1","Привет, ты меня знаешь?","Привет, ты меня знаешь?"
"D_NB_SINGER_2","Не думаю…","Не думаю…"
"D_NB_SINGER_3","Меня называют Мистер Певец!","Меня называют Мистер Певец!"
"D_NB_SINGER_4","Я думаю, мы еще встретимся. Не опаздывай.","Я думаю, мы еще встретимся. Не опаздывай."
"D_NB_TALK_1","Что-то не так? Ты какой-то потерянный.","Что-то не так? Ты какой-то потерянный."
"D_NB_TALK_2",".. Я просто задумался. Очень странное ощущение, даже не описать словами.",".. Я просто задумался. Очень странное ощущение, даже не описать словами."
"D_NB_TALK_3","Ух, может тогда пойдешь с нами?","Ух, может тогда пойдешь с нами?"
"D_NB_TALK_4","Куда?","Куда?"
"D_NB_TALK_5","Не знаю. Куда-нибудь. Ты же здесь еще нигде не был. Просидел все лето в своей комнате.","Не знаю. Куда-нибудь. Ты же здесь еще нигде не был. Просидел все лето в своей комнате."
"D_NB_TALK_6","...","..."
"D_NB_TALK_7","Ну же, идём!","Ну же, идём!"
"A_COUPLE_OF_HOURS_LATER","Пару часов спустя...","Пару часов спустя..."
"D_NB_SUNSET_1","Спасибо!","Спасибо!"
"D_NB_SUNSET_2","И тебе тоже. Я и не думала, что еще есть люди, ценящие такие простые моменты.","И тебе тоже. Я и не думала, что еще есть люди, ценящие такие простые моменты."
"D_NB_SUNSET_3","Да я просто люблю красивые закаты.","Да я просто люблю красивые закаты."
"D_NB_SUNSET_4","Всё равно спасибо.","Всё равно спасибо."
"NB_MESSAGE1","Не забудьте!","Не забудьте!"
"NB_MESSAGE2","У нас завтра посвящение в студенты","У нас завтра посвящение в студенты"
"NB_MESSAGE3","Автобус доставит вас до места праздника","Автобус доставит вас до места праздника"
"NB_MESSAGE4","Да, обязательно приходите, в прошлом году было очень весело!","Да, обязательно приходите, в прошлом году было очень весело!"
"YOU_ARE_BACK","Ты вернулся!","Ты вернулся!"
